DateTime,Revenue
2009-11-01,2
2009-12-01,3
2010-01-01,2
2010-02-01,3
2010-03-01,4
2010-04-01,4
2010-05-01,4
2010-06-01,4
2010-07-01,5
2010-08-01,7
2010-09-01,6
2010-10-01,9
2010-11-01,10
2010-12-01,8
2011-01-01,10
2011-02-01,13
2011-03-01,15
2011-04-01,14
2011-05-01,15
2011-06-01,16
2011-07-01,22
2011-08-01,19
2011-09-01,20
2011-10-01,32
2011-11-01,34
2011-12-01,36
2012-01-01,34
2012-02-01,40
2012-03-01,37
2012-04-01,35
2012-05-01,40
2012-06-01,38
2012-07-01,39
2012-08-01,43
2012-09-01,49
2012-10-01,43
2012-11-01,54
2012-12-01,44
2013-01-01,43
2013-02-01,43
2013-03-01,52
2013-04-01,52
2013-05-01,56
2013-06-01,62
2013-07-01,66
2013-08-01,62
2013-09-01,63
2013-10-01,60
2013-11-01,60
2013-12-01,58
2014-01-01,65
2014-02-01,52
2014-03-01,72
2014-04-01,57
2014-05-01,70
2014-06-01,63
2014-07-01,65
2014-08-01,65
2014-09-01,89
2014-10-01,100
